alpha,fixed_point_reward,fixed_point_gap,approval_probability,prob_any_approval,false_approval_probability,true_approval_probability,entry_rate,null_entry_rate,mean_sample_size,participation_threshold,expected_false_approvals,expected_true_approvals,expected_false_negatives,mfdr,pfdr,fdr,sensitivity,specificity,baseline_best_n,baseline_utility,baseline_active,cost_floor,mfdr_bound_action_specific,mfdr_bound_null_entry,mfdr_bound_effective,mfdr_bound_monopoly,pfdr_bound_action_specific,pfdr_bound_null_entry,pfdr_bound_effective,pfdr_bound_monopoly,fdr_bound_action_specific,fdr_bound_null_entry,fdr_bound_effective,fdr_bound_monopoly
0.17,4.6043287217617035,0.00974680014201823,0.3249667468169067,0.9996140746137141,0.0,0.3249667468169067,0.49170746403243487,0.0,9.456815674010326,0.553156146179402,0.0,6.499334936338133,5.8797532999131255,0.0,0.0,0.0,0.5250253340391665,1.0,0,0.0,False,1.0,0.0,0.0,0.7827358826994897,1.0,0.0,0.0,0.7827358826994897,1.0,0.0,0.0,0.7824338050515991,0.9996140746137141
0.18000000000000002,4.489409923553467,-4.654249865509996e-07,0.3340212425783966,0.9997054170981879,0.0,0.3340212425783966,0.5518978461580645,0.0,8.63388119386024,0.5299003322259136,0.0,6.680424851567932,5.698663384683327,0.0,0.0,0.0,0.5396540297697203,1.0,0,0.0,False,1.0,0.0,0.0,0.8080937862396241,1.0,0.0,0.0,0.8080937862396241,1.0,0.0,0.0,0.8078557356271374,0.9997054170981879
0.19,4.489409923553467,-4.654249865509996e-07,0.3340212425783966,0.9997054170981879,0.0,0.3340212425783966,0.5518978461580645,0.0,8.63388119386024,0.5299003322259136,0.0,6.680424851567932,5.698663384683327,0.0,0.0,0.0,0.5396540297697203,1.0,0,0.0,False,1.0,0.0,0.0,0.8529878854751587,1.0,0.0,0.0,0.8529878854751587,1.0,0.0,0.0,0.8527366098286449,0.9997054170981879
0.2,4.359451532363892,5.350870520004491e-07,0.34400500623289104,0.9997822237569662,0.0,0.34400500623289104,0.5518978461580645,0.0,8.728351913813292,0.5299003322259136,0.0,6.880100124657821,5.498988111593438,0.0,0.0,0.0,0.5557840766099355,1.0,0,0.0,False,1.0,0.0,0.0,0.8718903064727783,1.0,0.0,0.0,0.8718903064727783,1.0,0.0,0.0,0.8717004294774972,0.9997822237569662
0.21000000000000002,4.273284673690796,-4.039145089507201e-07,0.35095629635020303,0.9998240137148453,0.0,0.35095629635020303,0.543356333563685,0.0,9.250527177974408,0.5332225913621262,0.0,7.019125927004061,5.359962309247198,0.0,0.0,0.0,0.5670147746785633,1.0,0,0.0,False,1.0,0.0,0.0,0.8973897814750672,1.0,0.0,0.0,0.8973897814750672,1.0,0.0,0.0,0.8972318531810897,0.9998240137148453
0.22,4.275553822517395,7.190197077733274e-07,0.3507695862765806,0.9998229984252831,0.0,0.3507695862765806,0.5518978461580645,0.0,8.567301697580522,0.5299003322259136,0.0,7.015391725531613,5.363696510719647,0.0,0.0,0.0,0.5667131206794009,1.0,0,0.0,False,1.0,0.0,0.0,0.940621840953827,1.0,0.0,0.0,0.940621840953827,1.0,0.0,0.0,0.940455349406765,0.9998229984252831
0.23,4.202597737312317,4.858043149980062e-07,0.35686975032112794,0.9998534523890995,0.0,0.35686975032112794,0.543356333563685,0.0,8.52691990393885,0.5332225913621262,0.0,7.137395006422559,5.2416932298287,0.0,0.0,0.0,0.576568715741214,1.0,0,0.0,False,1.0,0.0,0.0,0.966597479581833,1.0,0.0,0.0,0.966597479581833,1.0,0.0,0.0,0.9664558270304978,0.9998534523890995
0.24000000000000002,4.202597737312317,4.858043149980062e-07,0.35686975032112794,0.9998534523890995,0.0,0.35686975032112794,0.543356333563685,0.0,8.52691990393885,0.5332225913621262,0.0,7.137395006422559,5.2416932298287,0.0,0.0,0.0,0.576568715741214,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9998534523890995,0.9998534523890995
0.25,4.0702056884765625,4.823617176796802e-07,0.36849420095065183,0.9998982470849748,0.0,0.36849420095065183,0.534790175774873,0.0,9.210735716171733,0.5365448504983389,0.0,7.369884019013036,5.0092042172382225,0.0,0.0,0.0,0.595349502189577,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9998982470849748,0.9998982470849748
0.26,3.988562822341919,-7.272381887801771e-07,0.3760452945616189,0.9999200052870594,0.0,0.3760452945616189,0.5262027093326131,0.0,9.732388004876185,0.5398671096345515,0.0,7.520905891232378,4.858182345018881,0.0,0.0,0.0,0.6075492595010311,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9999200052870594,0.9999200052870594
